# x sin(systeme) approximation
1.01767 0.850888 0.850888
1.01893 0.851547 0.851547
1.02019 0.852205 0.852205
1.02144 0.852862 0.852862
1.0227 0.853517 0.853517
1.02395 0.854171 0.854171
1.02521 0.854824 0.854824
1.02647 0.855475 0.855475
1.02772 0.856125 0.856125
1.02898 0.856773 0.856773
1.03024 0.857421 0.857421
1.03149 0.858067 0.858067
1.03275 0.858711 0.858711
1.03401 0.859354 0.859354
1.03526 0.859996 0.859996
1.03652 0.860636 0.860636
1.03777 0.861276 0.861276
1.03903 0.861913 0.861913
1.04029 0.86255 0.86255
1.04154 0.863185 0.863185
1.0428 0.863818 0.863818
1.04406 0.864451 0.864451
1.04531 0.865082 0.865082
1.04657 0.865711 0.865711
1.04783 0.866339 0.866339
1.04908 0.866966 0.866966
1.05034 0.867592 0.867592
1.05159 0.868216 0.868216
1.05285 0.868838 0.868838
1.05411 0.86946 0.86946
1.05536 0.87008 0.87008
1.05662 0.870698 0.870698
1.05788 0.871316 0.871316
1.05913 0.871931 0.871931
1.06039 0.872546 0.872546
1.06165 0.873159 0.873159
1.0629 0.873771 0.873771
1.06416 0.874381 0.874381
1.06542 0.87499 0.87499
1.06667 0.875598 0.875598
1.06793 0.876204 0.876204
1.06918 0.876809 0.876809
1.07044 0.877412 0.877412
1.0717 0.878014 0.878014
1.07295 0.878615 0.878615
1.07421 0.879214 0.879214
1.07547 0.879812 0.879812
1.07672 0.880408 0.880408
1.07798 0.881003 0.881003
1.07924 0.881597 0.881597
1.08049 0.882189 0.882189
1.08175 0.88278 0.88278
1.083 0.88337 0.88337
1.08426 0.883958 0.883958
1.08552 0.884545 0.884545
1.08677 0.88513 0.88513
1.08803 0.885714 0.885714
1.08929 0.886297 0.886297
1.09054 0.886878 0.886878
1.0918 0.887458 0.887458
1.09306 0.888036 0.888036
1.09431 0.888613 0.888613
1.09557 0.889188 0.889188
1.09682 0.889763 0.889763
1.09808 0.890335 0.890335
1.09934 0.890907 0.890907
1.10059 0.891477 0.891477
1.10185 0.892045 0.892045
1.10311 0.892612 0.892612
1.10436 0.893178 0.893178
1.10562 0.893742 0.893742
1.10688 0.894305 0.894305
1.10813 0.894867 0.894867
1.10939 0.895427 0.895427
1.11065 0.895985 0.895985
1.1119 0.896543 0.896543
1.11316 0.897098 0.897098
1.11441 0.897653 0.897653
1.11567 0.898206 0.898206
1.11693 0.898757 0.898757
1.11818 0.899307 0.899307
1.11944 0.899856 0.899856
1.1207 0.900404 0.900404
1.12195 0.900949 0.900949
1.12321 0.901494 0.901494
1.12447 0.902037 0.902037
1.12572 0.902579 0.902579
1.12698 0.903119 0.903119
1.12823 0.903657 0.903657
1.12949 0.904195 0.904195
1.13075 0.904731 0.904731
1.132 0.905265 0.905265
1.13326 0.905798 0.905798
1.13452 0.90633 0.90633
1.13577 0.90686 0.90686
1.13703 0.907389 0.907389
1.13829 0.907916 0.907916
1.13954 0.908442 0.908442
1.1408 0.908967 0.908967
1.14205 0.90949 0.90949
1.14331 0.910011 0.910011
1.14457 0.910531 0.910531
1.14582 0.91105 0.91105
1.14708 0.911567 0.911567
